A,B,C,Step,InitCondNum,State
0,0,1,37,7,001
0,0,1,38,7,001
0,0,1,39,7,001
0,0,1,40,7,001
0,0,1,41,7,001
0,0,1,42,7,001
0,0,1,43,7,001
0,0,1,44,7,001
0,0,1,45,7,001
0,0,1,46,7,001
0,0,1,47,7,001
0,0,1,48,7,001
0,0,1,49,7,001
0,0,1,50,7,001
0,0,1,51,7,001
0,0,1,52,7,001
0,0,1,53,7,001
0,0,1,54,7,001
0,0,1,55,7,001
0,0,1,56,7,001
0,0,1,57,7,001
0,0,1,58,7,001
0,0,1,59,7,001
0,0,1,60,7,001
0,0,1,61,7,001
0,0,1,62,7,001
0,0,1,63,7,001
0,0,1,64,7,001
0,0,1,65,7,001
0,0,1,66,7,001
0,0,1,67,7,001
0,0,1,68,7,001
0,0,1,69,7,001
0,0,1,70,7,001
0,0,1,71,7,001
0,0,1,72,7,001
0,0,1,73,7,001
0,0,1,74,7,001
0,0,1,75,7,001
0,0,1,76,7,001
0,0,1,77,7,001
0,0,1,78,7,001
0,0,1,79,7,001
0,0,1,80,7,001
0,0,1,81,7,001
0,0,1,82,7,001
0,0,1,83,7,001
0,0,1,84,7,001
0,0,1,85,7,001
0,0,1,86,7,001
0,0,1,87,7,001
0,0,1,88,7,001
0,0,1,89,7,001
0,0,1,90,7,001
0,0,1,91,7,001
0,0,1,92,7,001
0,0,1,93,7,001
0,0,1,94,7,001
0,0,1,95,7,001
0,0,1,96,7,001
0,0,1,97,7,001
0,0,1,98,7,001
0,0,1,99,7,001
0,0,1,100,7,001
0,0,1,101,7,001
1,0,1,1,8,101
1,0,1,2,8,101
1,0,1,3,8,101
1,0,1,4,8,101
1,0,1,5,8,101
1,0,1,6,8,101
1,0,1,7,8,101
1,0,1,8,8,101
1,0,1,9,8,101
1,0,1,10,8,101
1,0,1,11,8,101
1,0,1,12,8,101
1,0,1,13,8,101
1,0,1,14,8,101
1,0,1,15,8,101
1,0,1,16,8,101
1,0,1,17,8,101
1,0,1,18,8,101
1,0,1,19,8,101
1,0,1,20,8,101
1,0,1,21,8,101
1,0,1,22,8,101
1,0,1,23,8,101
1,0,1,24,8,101
1,0,1,25,8,101
1,0,1,26,8,101
1,0,1,27,8,101
1,0,1,28,8,101
1,0,1,29,8,101
1,0,1,30,8,101
1,0,1,31,8,101
1,0,1,32,8,101
1,0,1,33,8,101
1,0,1,34,8,101
1,0,1,35,8,101
1,0,1,36,8,101
1,0,1,37,8,101
1,0,1,38,8,101
1,0,1,39,8,101
1,0,1,40,8,101
1,0,1,41,8,101
1,0,1,42,8,101
1,0,1,43,8,101
1,0,1,44,8,101
1,0,1,45,8,101
1,0,1,46,8,101
1,0,1,47,8,101
1,0,1,48,8,101
1,0,1,49,8,101
1,0,1,50,8,101
1,0,1,51,8,101
1,0,1,52,8,101
1,0,1,53,8,101
1,0,1,54,8,101
1,0,1,55,8,101
1,0,1,56,8,101
1,0,1,57,8,101
1,0,1,58,8,101
