A,B,Step,InitCondNum
0,1,11,75
0,1,1,76
0,1,2,76
0,1,3,76
0,1,4,76
0,1,5,76
0,1,6,76
0,1,7,76
0,1,8,76
0,1,9,76
0,1,10,76
0,1,11,76
1,1,1,77
0,1,2,77
0,1,3,77
0,1,4,77
0,1,5,77
0,1,6,77
0,1,7,77
0,1,8,77
0,1,9,77
0,1,10,77
0,1,11,77
1,0,1,78
1,0,2,78
1,0,3,78
1,0,4,78
1,0,5,78
1,0,6,78
1,0,7,78
1,0,8,78
1,0,9,78
1,0,10,78
1,0,11,78
0,0,1,79
0,0,2,79
0,0,3,79
0,0,4,79
0,0,5,79
0,0,6,79
0,0,7,79
0,0,8,79
0,0,9,79
0,0,10,79
0,0,11,79
1,1,1,80
1,0,2,80
1,0,3,80
1,0,4,80
1,0,5,80
1,0,6,80
1,0,7,80
1,0,8,80
1,0,9,80
1,0,10,80
1,0,11,80
1,0,1,81
1,0,2,81
1,0,3,81
1,0,4,81
1,0,5,81
1,0,6,81
1,0,7,81
1,0,8,81
1,0,9,81
1,0,10,81
1,0,11,81
1,1,1,82
0,1,2,82
0,1,3,82
0,1,4,82
0,1,5,82
0,1,6,82
0,1,7,82
0,1,8,82
0,1,9,82
0,1,10,82
0,1,11,82
0,0,1,83
0,0,2,83
0,0,3,83
0,0,4,83
0,0,5,83
0,0,6,83
0,0,7,83
0,0,8,83
0,0,9,83
0,0,10,83
0,0,11,83
0,1,1,84
0,1,2,84
0,1,3,84
0,1,4,84
0,1,5,84
0,1,6,84
0,1,7,84
0,1,8,84
0,1,9,84
0,1,10,84
0,1,11,84
0,1,1,85
0,1,2,85
0,1,3,85
0,1,4,85
0,1,5,85
0,1,6,85
0,1,7,85
0,1,8,85
0,1,9,85
0,1,10,85
0,1,11,85
0,1,1,86
0,1,2,86
0,1,3,86
0,1,4,86
0,1,5,86
0,1,6,86
0,1,7,86
0,1,8,86
0,1,9,86
0,1,10,86
0,1,11,86
1,1,1,87
1,0,2,87
1,0,3,87
1,0,4,87
1,0,5,87
1,0,6,87
1,0,7,87
1,0,8,87
1,0,9,87
1,0,10,87
1,0,11,87
0,0,1,88
0,0,2,88
0,0,3,88
0,0,4,88
0,0,5,88
0,0,6,88
0,0,7,88
0,0,8,88
0,0,9,88
0,0,10,88
0,0,11,88
1,1,1,89
0,1,2,89
0,1,3,89
0,1,4,89
0,1,5,89
0,1,6,89
0,1,7,89
0,1,8,89
0,1,9,89
